ax: 0.19893631   ay: 0.49606842    az: 9.784103 time: 119792461
ax: 0.19878662   ay: 0.45969406    az: 9.7851515 time: 120708073
ax: 0.19893631   ay: 0.49666718    az: 9.794433 time: 118815809
ax: 0.19878662   ay: 0.4951703    az: 9.78111 time: 100167862
ax: 0.19893631   ay: 0.49606842    az: 9.7989235 time: 119731421
ax: 0.19878662   ay: 0.48858398    az: 9.810748 time: 120616512
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100717229
ax: 0.19893631   ay: 0.49666718    az: 9.80521 time: 118785289
ax: 0.19863693   ay: 0.49681687    az: 9.782008 time: 119548299
ax: 0.19893631   ay: 0.47855484    az: 9.78096 time: 100595147
ax: 0.16241226   ay: 0.49531996    az: 9.78111 time: 119639859
ax: 0.19893631   ay: 0.4779561    az: 9.78096 time: 119731421
ax: 0.19878662   ay: 0.49651748    az: 9.78111 time: 120189226
ax: 0.19893631   ay: 0.48080018    az: 9.78096 time: 119731422
ax: 0.16914825   ay: 0.49681687    az: 9.78111 time: 120036623
ax: 0.19878662   ay: 0.46373567    az: 9.78111 time: 100289943
ax: 0.19893631   ay: 0.49666718    az: 9.78096 time: 119609341
ax: 0.19878662   ay: 0.46523255    az: 9.78111 time: 100961390
ax: 0.19699036   ay: 0.49681687    az: 9.817635 time: 178818863
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 104867998
ax: 0.19714004   ay: 0.49681687    az: 9.78111 time: 109995423
ax: 0.1992357   ay: 0.46628037    az: 9.780661 time: 110086982
ax: 0.16914825   ay: 0.4963678    az: 9.780661 time: 109781779
ax: 0.1992357   ay: 0.4963678    az: 9.780661 time: 113261103
ax: 0.19878662   ay: 0.45849654    az: 9.78111 time: 107157028
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 109629176
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 109751259
ax: 0.19714004   ay: 0.49681687    az: 9.78111 time: 109995423
ax: 0.19878662   ay: 0.4950206    az: 9.78111 time: 113444224
ax: 0.1992357   ay: 0.4963678    az: 9.780661 time: 106821302
ax: 0.1992357   ay: 0.48828462    az: 9.780661 time: 109446056
ax: 0.19878662   ay: 0.49681687    az: 9.782757 time: 100808789
ax: 0.1992357   ay: 0.4963678    az: 9.810748 time: 109171372
ax: 0.1992357   ay: 0.4963678    az: 9.780661 time: 109934382
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100320464
ax: 0.1992357   ay: 0.4963678    az: 9.818981 time: 109659697
ax: 0.19878662   ay: 0.46029282    az: 9.817635 time: 100228903
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 110819472
ax: 0.1992357   ay: 0.4963678    az: 9.818981 time: 108713566
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 102609492
ax: 0.19878662   ay: 0.4950206    az: 9.81943 time: 107340150
ax: 0.1992357   ay: 0.4963678    az: 9.810898 time: 109751260
ax: 0.1910028   ay: 0.4963678    az: 9.818981 time: 110453226
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 100595147
ax: 0.19878662   ay: 0.49681687    az: 9.782907 time: 101754922
