Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Imid
0.373687744,0.6725884,0.74001545,-0.0014500401,-0.7400046,0.6725646,-0.0070706382,-0.004257135,0.005828665,0.9999739,0.76739854,0.6411699,-7.767861E-4,-0.641162,0.76738167,-0.0060631717,-0.0032914316,0.0051509147,0.9999813,0.004776001,0.004776001,9.907196,-0.041748047,0.057159424,9.806351,-0.0021362305,0.0021209717,-0.0063934326,-21.59729,19.592285,-18.960571,0
0.378143311,0.6531871,0.7571948,-0.00162099,-0.7571846,0.65316325,-0.0070205266,-0.0042571356,0.005813106,0.9999741,0.7656738,0.64322853,-7.7967206E-4,-0.64322037,0.76565677,-0.006096352,-0.003324386,0.0051693185,0.9999811,-0.03829956,0.004776001,10.0269165,-0.041748047,0.057006836,9.806351,0.0010681152,0.003189087,0.012771606,-22.135925,19.05365,-19.47937,0
0.382568359,0.6531983,0.75718504,-0.001643271,-0.75717485,0.6531742,-0.00703986,-0.0042571346,0.0058426685,0.99997383,0.7635987,0.6456906,-8.331833E-4,-0.6456827,0.7635814,-0.0061124163,-0.0033105272,0.005205405,0.999981,-0.0335083,0.13406372,10.09874,-0.041748047,0.057296753,9.806351,0.0053253174,-0.007461548,-0.0032043457,-22.135925,19.05365,-19.47937,0
0.386962891,0.6532093,0.75717556,-0.0016651141,-0.75716555,0.6531852,-0.0070382664,-0.004241575,0.005858228,0.99997383,0.76158446,0.6480651,-8.2316366E-4,-0.6480569,0.7615672,-0.006133127,-0.0033477708,0.0052043516,0.99998087,0.009567261,0.0909729,9.92157,-0.04159546,0.05744934,9.806351,-0.0032043457,0.004257202,0.0063934326,-22.135925,19.05365,-19.47937,0
0.391326904,0.6588412,0.75228035,-0.001600842,-0.7522701,0.6588172,-0.0070402445,-0.004241575,0.0058426685,0.9999739,0.7595736,0.6504208,-8.508789E-4,-0.65041256,0.759556,-0.006182397,-0.0033748692,0.0052494085,0.9999805,-0.06703186,0.028717041,10.036484,-0.04159546,0.057296753,9.806351,0.007446289,0.0021209717,-0.004272461,-21.59729,18.875122,-18.615723,0
0.395690918,0.6588468,0.7522753,-0.0016124942,-0.75226504,0.6588227,-0.007050507,-0.004241575,0.005858228,0.99997383,0.7577084,0.6525928,-8.2279206E-4,-0.6525842,0.7576906,-0.0062230066,-0.0034376676,0.0052521657,0.99998033,-0.0143585205,0.09576416,10.09874,-0.04159546,0.05744934,9.806351,-0.0021362305,0.010650635,0.0010681152,-21.59729,18.875122,-18.615723,0
0.400054932,0.6588254,0.75229424,-0.0015684976,-0.7522839,0.6588016,-0.0070324405,-0.0042571356,0.005813106,0.9999741,0.75587445,0.654716,-8.5152755E-4,-0.6547075,0.7558565,-0.0062511964,-0.0034491254,0.0052826214,0.9999801,-0.08618164,-0.04788208,9.888046,-0.041748047,0.057006836,9.806351,0.004257202,-0.0010681152,0.0010681152,-21.59729,18.875122,-18.615723,0
0.404449463,0.6671872,0.74488854,-0.0014920955,-0.7448778,0.66716343,-0.0070703328,-0.0042711385,0.005828665,0.9999739,0.75407106,0.6567923,-8.3954586E-4,-0.65678346,0.754053,-0.006288328,-0.0034970636,0.005293247,0.99997985,-0.07661438,0.0909729,10.074799,-0.041885376,0.057159424,9.806351,0.0,0.007446289,0.0010681152,-22.314453,19.950867,-17.9245,0
0.408813477,0.6671872,0.74488854,-0.0014921457,-0.7448777,0.6671633,-0.007091265,-0.0042866976,0.005842668,0.9999738,0.7523941,0.6587127,-8.2469406E-4,-0.6587036,0.7523757,-0.00635144,-0.0035632947,0.0053220154,0.99997944,-0.10533142,0.07661438,10.060425,-0.042037964,0.057296753,9.806351,0.004257202,0.011703491,-0.017044067,-22.314453,19.950867,-17.9245,0
0.41317749,0.6671672,0.7449066,-0.0014471327,-0.7448957,0.6671437,-0.007050743,-0.0042866995,0.005781987,0.99997413,0.7508004,0.6605288,-7.506849E-4,-0.66051906,0.7507821,-0.0063935183,-0.0036595021,0.0052960976,0.9999793,-0.05265808,-0.07661438,9.907196,-0.042037964,0.05670166,9.806351,-0.008514404,0.01914978,0.0021209717,-22.314453,19.950867,-17.9245,0
