Serial,Time,Imid,ax,ay,az,vx,vy,vz,dx,dy,dz,mx,my,mz,nsax,nsay,nsaz,ax1,ay1,ayz,0.061554186,0.08783581,0.05899143
76,0.33551025,0,0.0596276,0.057886448,0.027023334,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.093417525,0.15933582,-0.022865422,0.006514797,0.045578707,-0.004144471,,,
77,0.3399048,0,0.02366303,0.06958842,0.040322714,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.0685836,-0.03645342,-0.12007433,0.008085608,0.052672815,-0.002900583,,,
78,0.34432983,0,-0.008864701,0.019899715,-0.032144524,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.005052734,0.10178175,0.014722853,0.010211664,0.05863722,-0.001221653,,,
79,0.34872437,0,0.026297497,0.010868416,0.014064995,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.074628115,0.074449725,0.07001142,0.012406111,0.063239746,1.66E-04,,,
80,0.3531494,0,0.011326558,-0.05034838,0.014241414,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.003394663,0.070571564,-0.04878719,0.014299987,0.065887004,0.001252311,,,
81,0.35757446,0,-0.023381004,-0.05243403,0.024110664,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.005082365,0.12275789,-0.04707262,0.014683205,0.064701825,0.002565579,,,
82,0.361969,0,-0.052311964,-0.051899757,0.009993854,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.15359087,0.14678702,-0.03466158,0.012580611,0.058742028,0.005065084,,,
83,0.36639404,0,-0.04627865,-0.04134651,0.03809496,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.025639977,-0.010539394,0.06558416,0.008076258,0.048145134,0.008844934,,,
84,0.3708191,0,0.023713458,-0.013122373,-0.009973915,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.020840777,0.02986639,0.023232546,0.002355331,0.034001153,0.013240115,,,
85,0.37521362,0,0.003275658,0.027725061,-3.65E-05,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.13778618,0.1359103,0.05532516,-0.002615019,0.018386811,0.016909888,,,
86,0.37963867,0,0.03502901,0.051864725,0.015221098,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.024478555,0.09956095,0.09961181,-0.005752118,0.003496015,0.019127067,,,
87,0.38406372,0,-0.015029809,-0.010596785,-0.005207122,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.063447356,-0.004134849,-0.09663479,-0.007052112,-0.009378454,0.019906059,,,
88,0.38845825,0,0.039253797,-0.04316302,-0.026108736,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.07605493,-0.022356223,0.058047276,-0.007197228,-0.020344203,0.01954944,,,
89,0.3928833,0,0.04517362,0.010845196,0.019272756,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.010114301,-0.18539387,0.011548656,-0.006095805,-0.030078096,0.017855488,,,
90,0.39730835,0,-0.004499206,-0.006396228,-0.049314883,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.066701666,-0.15125489,0.07212591,-0.004462359,-0.038227387,0.01465103,,,
91,0.40170288,0,-0.011225942,-0.017785544,0.005608263,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.10309972,-0.15949732,0.012680889,-0.003407223,-0.044153996,0.009873511,,,
92,0.40612793,0,-0.006707473,0.014249706,0.007083139,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.039823685,-0.117001206,0.07903974,-0.002971726,-0.047462814,0.004512218,,,
93,0.41052246,0,-0.03740293,0.023589956,0.022196539,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.081665605,-0.019679874,-0.099865355,-0.002161265,-0.047461763,-2.51E-04,,,
94,0.4149475,0,4.82E-04,-0.051186975,0.020076895,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.045539442,0.04620167,-0.008211285,-7.78E-04,-0.042997926,-0.004011914,,,
95,0.41937256,0,-0.017341228,0.002094082,0.005104697,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.05033661,0.061527498,0.020606492,8.12E-04,-0.035041858,-0.006412637,,,
96,0.4237671,0,0.010635387,-0.006248249,-0.006097114,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.07496846,-0.11391221,-0.042403247,0.001920267,-0.025549365,-0.007962976,,,
97,0.42819214,0,0.029966954,0.024374798,-0.040786523,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.1279409,-0.09892854,-0.04217542,0.002923487,-0.016465884,-0.009482458,,,
98,0.4326172,0,0.018747026,0.009182795,6.03E-04,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.07009058,0.090149276,0.051021278,0.004559552,-0.008783056,-0.0108995,,,
99,0.43701172,0,-0.017622665,-0.042917997,-0.029823404,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.03875539,0.03060732,-0.17132972,0.005897038,-0.003183065,-0.011901431,,,
100,0.44143677,0,-0.025449416,-0.003026259,-0.039085876,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.013961846,-3.69E-04,0.041324295,0.005599393,-2.15E-04,-0.012735791,,,
101,0.44586182,0,-0.014449115,-0.060183913,-0.005155824,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.03229494,0.09069734,0.001329697,0.003517498,5.03E-04,-0.013592294,,,
102,0.45025635,0,-6.56E-04,-0.009085705,0.028817639,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.088443324,0.06634391,0.03345578,4.81E-04,-5.53E-04,-0.014198741,,,
103,0.4546814,0,0.006354734,-0.05000562,0.003258148,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.002904315,-0.1776238,0.050718695,-0.002785442,-0.002812721,-0.014221957,,,
104,0.45910645,0,-0.005249674,-0.06924532,-0.03702397,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.056321044,0.019560248,-0.009386506,-0.005828107,-0.006735413,-0.013546236,,,
105,0.46350098,0,-0.002749594,-0.049867183,-0.008454779,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.020031307,-0.041246653,-0.026553743,-0.008144623,-0.012933378,-0.013068018,,,
106,0.46792603,0,0.02098245,-0.027100625,-0.05108269,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.075081125,0.10531353,-0.09221026,-0.009175665,-0.021400545,-0.013592302,,,
107,0.47232056,0,-0.002758976,-0.028296433,-0.054286174,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.01891092,0.02677796,0.054877575,-0.008419894,-0.030178487,-0.01575006,,,
108,0.4767456,0,-0.00836606,-0.070038356,-0.03443239,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.08218406,-0.14187007,-0.09139514,-0.006914517,-0.03808577,-0.019732885,,,
109,0.48117065,0,-0.029543238,-0.056377992,-0.06740025,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.033471767,0.042736255,-0.046091333,-0.005794305,-0.04537028,-0.025301293,,,
110,0.4855652,0,-0.018650286,0.029605776,-0.02075591,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.004936892,-0.16046451,-0.001958487,-0.00539905,-0.051597368,-0.031098576,,,
111,0.48999023,0,-0.003714295,-0.013347311,0.001719046,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.023450466,0.013957314,0.0709003,-0.005797611,-0.055788506,-0.035846595,,,
112,0.49441528,0,0.01122289,0.026757255,0.01782816,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.042436026,-0.13021405,-0.03735994,-0.006685725,-0.057902303,-0.038542613,,,
113,0.4988098,0,0.03861262,0.040396277,-0.004482188,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.027792215,-0.107254304,-0.11196606,-0.007002572,-0.057705898,-0.039160326,,,
114,0.50323486,0,0.04487471,0.046315618,-0.018270578,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.002792633,-0.09296973,0.019285321,-0.005754052,-0.053439084,-0.038471993,,,
115,0.5076599,0,-0.007473205,0.004628124,-0.04803112,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.038801417,-0.034098,-0.11661603,-0.002491278,-0.044595268,-0.03730428,,,
116,0.51205444,0,0.017252555,0.04154778,-0.033105534,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.04705328,-0.071769804,-0.07359473,0.00152457,-0.032393616,-0.036560763,,,
117,0.5164795,0,-0.0029066,-0.026515251,-0.008446553,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.016240468,-0.15436527,-0.045495808,0.004924047,-0.018365575,-0.035973947,,,
118,0.52090454,0,0.002009622,-0.028314779,-0.029938996,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.048459172,-0.053401925,-0.12594227,0.007069146,-0.004841707,-0.035211023,,,
119,0.5252991,0,-0.030266685,-0.001898565,-0.02702267,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.008253779,0.14335966,0.019801836,0.008293039,0.007487441,-0.03362245,,,
120,0.5297241,0,-0.045694478,0.035682,-0.01392839,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.008604949,-0.014685508,0.007005091,0.008710787,0.018425811,-0.03054643,,,
121,0.53414917,0,-0.019562637,0.027062915,0.02932248,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.02914783,0.10330639,0.030122232,0.008188129,0.028283082,-0.026117634,,,
122,0.5385437,0,0.032697786,0.09244692,0.009024385,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.09337391,0.14810693,-0.008925803,0.007104529,0.037123594,-0.020844521,,,
123,0.54296875,0,0.023840077,0.038859475,0.006327534,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.09346478,0.14744449,-0.008938344,0.006212114,0.045569815,-0.015262523,,,
124,0.5473633,0,0.03388919,0.017841944,0.023681516,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.06503834,0.004029714,-0.09665491,0.006032112,0.05288796,-0.009726786,,,
125,0.55178833,0,-0.017107345,-0.042433087,0.01401033,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.045230236,0.13890544,0.007795935,0.006201203,0.057309218,-0.004585957,,,
126,0.5562134,0,-0.020674909,-0.035816874,-0.018465068,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.009624122,-0.07108172,0.047881905,0.005581554,0.056739252,1.38E-04,,,
127,0.5606079,0,-0.04710231,-0.03421033,-0.019939616,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.024674319,0.002456784,-0.044561386,0.003321658,0.050884053,0.003954237,,,
128,0.56503296,0,-0.012559732,-0.052203372,0.002853824,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.06267068,0.032224663,-0.004715926,-9.70E-04,0.0412751,0.006759183,,,
129,0.569458,0,-0.03141983,-0.025705587,-0.010052998,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.095842645,0.06447268,-0.019835256,-0.006453111,0.02969698,0.009301008,,,
