time,ax,ay,az,imid,cf
4.567260742,9.543274,0.27293396,1.8387451,2.0,0
4.571685791,9.715668,0.2394104,1.9393005,2.0,0
4.576080322,9.634262,0.32081604,2.0446472,2.0,0
4.580474854,9.667786,0.34954834,2.0781555,2.0,0
4.584899903,9.58638,0.23461914,2.039856,2.0,0
4.589294434,9.418777,0.6512146,2.1212616,2.0,0
4.593719483,9.543274,0.7996521,1.9967499,2.0,0
4.598114014,9.538498,0.7421875,1.9009857,2.0,0
4.602539063,9.629471,0.9337311,2.0733643,2.0,0
4.606933594,9.648621,0.8379669,1.9632416,2.0,0
4.611358643,9.504974,0.8475342,2.2553253,2.0,0
4.615753174,9.686935,1.024704,2.1882935,2.0,0
4.620147705,9.5767975,1.364685,1.9249268,2.0,0
4.624572754,9.662994,1.4125671,2.15477,2.0,0
4.628967285,9.629471,1.5945282,2.178711,2.0,0
4.633392334,9.667786,1.6041107,2.1882935,2.0,0
4.637786865,9.682144,1.6807251,2.269699,2.0,0
4.642211914,9.691727,1.5466461,1.9823914,2.0,0
4.646606445,9.639053,1.4891815,1.8387451,2.0,0
4.651000977,9.677353,1.5274963,1.7860718,2.0,0
4.655426026,9.691727,1.2210388,1.929718,2.0,0
4.659820557,9.572006,1.2641296,1.6472015,2.0,0
4.664245606,9.739609,1.2497711,2.0111237,2.0,0
4.668640137,9.600739,1.0726013,1.8866272,2.0,0
4.673065186,9.619888,0.9864044,1.9440765,2.0,0
4.677459717,9.42836,0.68473816,2.0350647,2.0,0
4.681854248,9.62468,0.7565613,1.8387451,2.0,0
4.686279297,9.648621,0.77571106,1.8961945,2.0,0
4.690673828,9.629471,0.59375,1.7046661,2.0,0
4.695098877,9.62468,0.6081238,1.9249268,2.0,0
4.699493408,9.691727,0.5458679,1.7094574,2.0,0
4.703918457,9.595947,0.39263916,1.6519928,2.0,0
4.708312988,9.600739,0.3543396,1.6232605,2.0,0
4.712738037,9.629471,0.26335144,1.6472015,2.0,0
4.717132569,9.538498,0.2681427,1.7286072,2.0,0
4.7215271,9.572006,0.40701294,1.9201355,2.0,0
