Serial,Time,Imid,ax,ay,az,vx,vy,vz,dx,dy,dz
160,0.7079773,0,-0.7927763,-0.8189838,1.2505951,0.0,0.0,0.0,0.0,0.0,1.5955421
161,0.7123718,0,-0.69345677,-0.75244737,1.1528482,0.0,0.0,0.0,0.0,0.0,1.5955421
162,0.71676636,0,-0.6651989,-0.7333627,1.1282158,0.0,0.0,0.0,0.0,0.0,1.5955421
163,0.7211609,0,-0.7356907,-0.82227844,1.2086382,0.0,0.0,0.0,0.0,0.0,1.5955421
164,0.7255554,0,-0.7591635,-0.78371644,1.2328348,0.0,0.0,0.0,0.0,0.0,1.5955421
165,0.72994995,0,-0.8263235,-0.900997,1.3126392,0.0,0.0,0.0,0.0,0.0,1.5955421
166,0.7343445,0,-0.678618,-0.7480471,1.1597042,0.0,0.0,0.0,0.0,0.0,1.5955421
167,0.738739,0,-0.77520216,-0.90257555,1.2696638,0.0,0.0,0.0,0.0,0.0,1.5955421
168,0.74316406,0,-0.6189102,-0.8084426,1.1122255,0.0,0.0,0.0,0.0,0.0,1.5955421
169,0.7475586,0,-0.69796365,-0.7678555,1.188673,0.0,0.0,0.0,0.0,0.0,1.5955421
170,0.7519531,0,-0.6315362,-0.83328843,1.1327152,0.0,0.0,0.0,0.0,0.0,1.5955421
171,0.75634766,0,-0.6757727,-0.6904229,1.1671791,0.0,0.0,0.0,0.0,0.0,1.5955421
172,0.7607422,0,-0.71637803,-0.84300756,1.2228508,0.0,0.0,0.0,0.0,0.0,1.5955421
173,0.7651367,0,-0.62197053,-1.020786,1.1467037,0.0,0.0,0.0,0.0,0.0,1.5955421
174,0.76953125,0,-0.7390658,-0.9578638,1.2564964,0.0,0.0,0.0,0.0,0.0,1.5955421
175,0.7739258,0,-0.7147095,-0.9096337,1.2302561,0.0,0.0,0.0,0.0,0.0,1.5955421
176,0.7783203,0,-0.6967814,-0.84161997,1.2111521,0.0,0.0,0.0,0.0,0.0,1.5955421
177,0.78271484,0,-0.71446115,-0.80733144,1.2299051,0.0,0.0,0.0,0.0,0.0,1.5955421
178,0.7871094,0,-0.67757964,-0.8149791,1.1978941,0.0,0.0,0.0,0.0,0.0,1.5955421
179,0.7915039,0,-0.63678205,-0.81879246,1.1605206,0.0,0.0,0.0,0.0,0.0,1.5955421
180,0.79589844,0,-0.68346334,-0.6614836,1.1948729,0.0,0.0,0.0,0.0,0.0,1.5955421
181,0.80029297,0,-0.6345005,-0.8940021,1.1669044,0.0,0.0,0.0,0.0,0.0,1.5955421
182,0.8046875,0,-0.57462823,-0.79556894,1.1027861,0.0,0.0,0.0,0.0,0.0,1.5955421
183,0.80908203,0,-0.74574614,-0.7955556,1.2721357,0.0,0.0,0.0,0.0,0.0,1.5955421
184,0.81347656,0,-0.74915886,-0.70475256,1.2696037,0.0,0.0,0.0,0.0,0.0,1.5955421
185,0.8179016,0,-0.8069117,-0.7913166,1.3336973,0.0,0.0,0.0,0.0,0.0,1.5955421
186,0.82229614,0,-0.8328253,-0.8158616,1.3613148,0.0,0.0,0.0,0.0,0.0,1.5955421
187,0.8266907,0,-0.72773236,-0.78857756,1.2561541,0.0,0.0,0.0,0.0,0.0,1.5955421
188,0.8310852,0,-0.812261,-0.73346364,1.3331308,0.0,0.0,0.0,0.0,0.0,1.5955421
189,0.83547974,0,-0.91187936,-0.7704675,1.4338017,0.0,0.0,0.0,0.0,0.0,1.5955421
190,0.83987427,0,-0.8739282,-0.8373728,1.4013853,0.0,0.0,0.0,0.0,0.0,1.5955421
191,0.8442688,0,-0.9128166,-0.6875817,1.4271965,0.0,0.0,0.0,0.0,0.0,1.5955421
192,0.84866333,0,-0.8436696,-0.6373817,1.3557405,0.0,0.0,0.0,0.0,0.0,1.5955421
193,0.85305786,0,-0.82019305,-0.6754812,1.3372498,0.0,0.0,0.0,0.0,0.0,1.5955421
194,0.8574524,0,-0.6778354,-0.9125709,1.2192326,0.0,0.0,0.0,0.0,0.0,1.5955421
