Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,Imid
84720.497515764,-0.06448737,-0.9979157,-0.002388625,0.9978648,-0.06450856,0.010226902,-0.010359672,-0.0017240187,0.99994487,-0.114644244,-0.99340165,-0.0031381212,0.9933494,-0.11467098,0.010372223,-0.010663635,-0.001928135,0.9999413,0
84720.501879777,-0.12676385,-0.99192846,-0.0029888842,0.9918792,-0.1267878,0.010032134,-0.010330113,-0.0016929,0.9999453,-0.11364356,-0.9935164,-0.003218513,0.9934644,-0.113671176,0.010358866,-0.010657555,-0.0020202596,0.9999412,0
84720.506213273,-0.1267605,-0.9919288,-0.0030234677,0.9918793,-0.12678483,0.010057519,-0.010359672,-0.0017240187,0.99994487,-0.11364356,-0.9935164,-0.003218513,0.9934644,-0.113671176,0.010358866,-0.010657555,-0.0020202596,0.9999412,0
84720.510577287,-0.1267618,-0.99192864,-0.0030100183,0.99187887,-0.12678601,0.01007492,-0.01037523,-0.0017084586,0.9999447,-0.1141026,-0.9934636,-0.0032706186,0.993412,-0.11413068,0.0103311045,-0.010636854,-0.002070266,0.9999413,0
84720.514910783,-0.1016324,-0.99481815,-0.0027696975,0.9947679,-0.10165551,0.010146251,-0.01037523,-0.0017240185,0.9999447,-0.11435599,-0.9934344,-0.003265466,0.99338293,-0.114383996,0.010325899,-0.010631622,-0.00206303,0.99994135,0
84720.519274797,-0.101634264,-0.994818,-0.0027558177,0.99476755,-0.101657264,0.010163305,-0.010390788,-0.0017084584,0.99994457,-0.114101544,-0.99346375,-0.0032517728,0.9934118,-0.114129506,0.010366906,-0.01067027,-0.0020474694,0.999941,0
84720.523608293,-0.10163656,-0.99481785,-0.0027387803,0.99476755,-0.10165936,0.010149404,-0.010375231,-0.001692899,0.99994475,-0.114101544,-0.99346375,-0.0032517728,0.9934118,-0.114129506,0.010366906,-0.01067027,-0.0020474694,0.999941,0
84720.527972307,-0.11704697,-0.9931221,-0.0029130795,0.993072,-0.11707075,0.010119352,-0.010390788,-0.0017084584,0.99994457,-0.113599494,-0.9935209,-0.0033512132,0.99346876,-0.113628626,0.010406408,-0.010719778,-0.002147163,0.9999402,0
84720.532305803,-0.11704251,-0.9931226,-0.0029405747,0.99307275,-0.11706655,0.010100452,-0.01037523,-0.0017380222,0.9999447,-0.113668405,-0.9935131,-0.0033424692,0.99346095,-0.11369743,0.010400636,-0.010713199,-0.0021383888,0.99994034,0
84720.536669816,-0.117042795,-0.9931225,-0.0029387563,0.99307275,-0.11706677,0.010085,-0.010359671,-0.0017380223,0.99994475,-0.11375321,-0.9935033,-0.0033819252,0.993451,-0.113782704,0.010424393,-0.010741473,-0.0021739688,0.9999399,0
84720.54103383,-0.1337193,-0.9910144,-0.0030900326,0.9909653,-0.13374387,0.010006755,-0.010330112,-0.0017240192,0.9999451,-0.11375321,-0.9935033,-0.0033819252,0.993451,-0.113782704,0.010424393,-0.010741473,-0.0021739688,0.9999399,0
84720.545367326,-0.13371518,-0.99101484,-0.0031192903,0.99096584,-0.13374005,0.010002812,-0.010330111,-0.0017535826,0.99994504,-0.11457895,-0.9934084,-0.0033810465,0.99335605,-0.11460839,0.010423558,-0.010742346,-0.0021642628,0.99994,0
84720.54973134,-0.13370591,-0.9910159,-0.0031853712,0.99096674,-0.13373156,0.0100394385,-0.010375229,-0.0018142646,0.99994457,-0.1149362,-0.99336666,-0.0034935395,0.9933152,-0.114966705,0.010366042,-0.010698922,-0.0022787526,0.99994016,0
84720.554064836,-0.075480536,-0.9971438,-0.002606696,0.99709344,-0.075503364,0.010191965,-0.01035967,-0.0018298246,0.9999447,-0.11531204,-0.9933232,-0.0034874864,0.99327177,-0.11534244,0.01035936,-0.010692448,-0.002269463,0.9999403,0
84720.558428849,-0.07548241,-0.99714375,-0.0025911992,0.9970933,-0.075505085,0.010193135,-0.01035967,-0.0018142649,0.9999447,-0.11531204,-0.9933232,-0.0034874864,0.99327177,-0.11534244,0.01035936,-0.010692448,-0.002269463,0.9999403,0
84720.562762346,-0.075480536,-0.9971438,-0.002606696,0.99709344,-0.075503364,0.010191965,-0.01035967,-0.0018298246,0.9999447,-0.11373781,-0.9935051,-0.0033453924,0.99345374,-0.11376672,0.010331356,-0.010644849,-0.0021484268,0.999941,0
84720.567126359,-0.07832812,-0.9969242,-0.0026382334,0.9968736,-0.07835117,0.010215499,-0.010390786,-0.0018298241,0.9999444,-0.11302602,-0.9935867,-0.0032446468,0.99353415,-0.11305409,0.010426858,-0.010726809,-0.0020451609,0.9999404,0
84720.571459855,-0.07833028,-0.996924,-0.0026250584,0.996873,-0.07835325,0.010246183,-0.010420348,-0.0018142639,0.9999441,-0.11233319,-0.99366534,-0.0032323403,0.99361277,-0.11236116,0.010422925,-0.010720089,-0.0020408542,0.99994045,0
84720.575823869,-0.07832792,-0.9969241,-0.00263945,0.9968733,-0.07835101,0.01023101,-0.010406344,-0.0018298237,0.9999442,-0.11233319,-0.99366534,-0.0032323403,0.99361277,-0.11236116,0.010422925,-0.010720089,-0.0020408542,0.99994045,0
84720.580187883,-0.10583063,-0.9943799,-0.002924142,0.99432945,-0.10585521,0.010183602,-0.010435904,-0.0018298231,0.9999439,-0.11102296,-0.9938129,-0.0031317044,0.99376017,-0.11104992,0.010424456,-0.010707733,-0.0019548093,0.99994075,0
84720.584521379,-0.1058309,-0.9943799,-0.002922498,0.9943295,-0.10585542,0.0101681305,-0.010420346,-0.0018298232,0.999944,-0.110893235,-0.9938274,-0.003130301,0.9937753,-0.11092007,0.010366465,-0.0106496895,-0.0019612445,0.9999414,0
84720.588885392,-0.10582917,-0.99437994,-0.0029331774,0.9943301,-0.10585373,0.010121623,-0.010375228,-0.0018453839,0.99994445,-0.1107921,-0.99383867,-0.0031261246,0.9937866,-0.11081889,0.010362514,-0.010645102,-0.001958616,0.9999414,0
84720.593218889,-0.1235303,-0.9923359,-0.0031265877,0.99228674,-0.12355584,0.010050389,-0.010359669,-0.0018609439,0.99994457,-0.1107921,-0.99383867,-0.0031261246,0.9937866,-0.11081889,0.010362514,-0.010645102,-0.001958616,0.9999414,0
84720.597582902,-0.12352827,-0.992336,-0.0031420083,0.99228686,-0.12355398,0.01004847,-0.010359669,-0.0018765036,0.99994457,-0.11122874,-0.9937899,-0.0031158195,0.9937381,-0.11125535,0.010333978,-0.010616454,-0.0019468734,0.9999417,0
84720.601916398,-0.12352777,-0.99233615,-0.0031458475,0.99228674,-0.123553574,0.010079351,-0.0103907855,-0.001876503,0.99994427,-0.111431256,-0.9937674,-0.0030797257,0.9937148,-0.11145758,0.010393968,-0.010672445,-0.0019021562,0.99994123,0
84720.606280412,-0.07734971,-0.9970004,-0.0026615206,0.9969495,-0.0773731,0.010245145,-0.010420346,-0.0018609427,0.999944,-0.111673415,-0.9937402,-0.0030811194,0.99368775,-0.11169972,0.010387677,-0.010666813,-0.0019016431,0.99994135,0
84720.610613908,-0.07734756,-0.9970007,-0.002675929,0.99695,-0.07737109,0.010229989,-0.010406343,-0.0018765028,0.9999441,-0.111673415,-0.9937402,-0.0030811194,0.99368775,-0.11169972,0.010387677,-0.010666813,-0.0019016431,0.99994135,0
84720.614977922,-0.07735004,-0.9970004,-0.0026592372,0.9969498,-0.07737336,0.010215673,-0.0103907855,-0.0018609433,0.99994427,-0.110299334,-0.9938936,-0.003080837,0.9938414,-0.11032568,0.010371298,-0.010647862,-0.0019179161,0.99994147,0
84720.619341935,-0.064654745,-0.99790454,-0.0024969361,0.9978537,-0.06467706,0.01023518,-0.010375228,-0.0018298242,0.99994445,-0.109606646,-0.99397,-0.0031774591,0.993918,-0.10963405,0.010365454,-0.010651307,-0.0020220112,0.99994123,0
