Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,Imid
15646.582661,-0.681847,-0.30968335,-0.6627072,0.3058135,-0.9436726,0.12633288,-0.6645019,-0.11652514,0.7381457,-0.73374724,-0.07887331,-0.67482895,0.13547423,-0.9902781,-0.031559613,-0.66577905,-0.1145787,0.7372991,0
15646.592712,-0.6754079,-0.32837814,-0.66029674,0.31893188,-0.93738806,0.13995014,-0.664911,-0.11606629,0.73784965,-0.7321687,-0.087809354,-0.6754395,0.14181428,-0.98957556,-0.025076978,-0.66619647,-0.114147544,0.7369889,0
15646.602692,-0.6712141,-0.33953464,-0.6589293,0.3265239,-0.9334683,0.14838825,-0.66547257,-0.115555875,0.7374233,-0.73045015,-0.097258545,-0.67600536,0.14852957,-0.9887397,-0.018239595,-0.6666194,-0.11372992,0.73667085,0
15646.612673,-0.6661845,-0.3523526,-0.6573019,0.3356024,-0.9287088,0.15770507,-0.6660099,-0.115531415,0.7369419,-0.728621,-0.10679629,-0.6765397,0.1555317,-0.987763,-0.011579864,-0.6670242,-0.113660716,0.7363151,0
15646.622656,-0.6603384,-0.3672369,-0.65504986,0.34614968,-0.92292887,0.16847208,-0.6664335,-0.11549669,0.7365643,-0.7267538,-0.11610538,-0.6770144,0.16235471,-0.9867195,-0.005064085,-0.6674353,-0.11359681,0.7359524,0
15646.632723,-0.6567849,-0.37619013,-0.65354,0.3522909,-0.9193536,0.17515746,-0.6667269,-0.115195446,0.73634595,-0.7248636,-0.12555112,-0.67735493,0.16915569,-0.98558795,0.0016636476,-0.66780174,-0.11337251,0.73565453,0
15646.64265,-0.65160006,-0.38900074,-0.6512264,0.36120847,-0.9140362,0.18457069,-0.6670426,-0.11496219,0.7360964,-0.72287446,-0.13491735,-0.6776797,0.17584014,-0.9843828,0.0084110275,-0.66823107,-0.11308318,0.73530906,0
15646.65273,-0.64720076,-0.39937946,-0.6493283,0.36829782,-0.909589,0.19236578,-0.6674488,-0.11464691,0.73577726,-0.7207363,-0.14451909,-0.67797744,0.1826717,-0.98305404,0.015357338,-0.6687079,-0.1127787,0.7349223,0
15646.66268,-0.64369935,-0.40757433,-0.6477147,0.3736828,-0.90601456,0.19874321,-0.66784155,-0.11410896,0.73550445,-0.7185416,-0.15441556,-0.67812514,0.18957442,-0.9816052,0.022647716,-0.6691483,-0.11228187,0.7345974,0
15646.672726,-0.64085025,-0.4143358,-0.6462484,0.37794155,-0.9030329,0.20418607,-0.668185,-0.11339139,0.73530346,-0.7162529,-0.16444632,-0.6781881,0.19648226,-0.98004436,0.030129828,-0.6696092,-0.111671366,0.7342704,0
15646.68269,-0.6383862,-0.42036593,-0.6447911,0.38164,-0.9003438,0.20912221,-0.6684415,-0.112577334,0.73519546,-0.71387875,-0.17465883,-0.67813826,0.2033925,-0.9783645,0.03787198,-0.6700811,-0.110892236,0.7339579,0
15646.692688,-0.63586235,-0.42632285,-0.6433723,0.38523027,-0.89764535,0.21408026,-0.6687875,-0.11172092,0.73501134,-0.71137965,-0.1849767,-0.6780285,0.21032578,-0.9765603,0.045749463,-0.6705983,-0.110061646,0.73361045,0
15646.702761,-0.63304234,-0.43250433,-0.6420259,0.38901174,-0.8947741,0.21920103,-0.6692736,-0.1109921,0.7346792,-0.7087734,-0.19519317,-0.6778938,0.21729422,-0.9746418,0.053446546,-0.671136,-0.1094209,0.7332145,0
15646.712667,-0.6282817,-0.4422774,-0.6400412,0.39532593,-0.89005524,0.226978,-0.6700593,-0.11041876,0.7340492,-0.70588267,-0.20517991,-0.6779608,0.22409219,-0.9726542,0.06104529,-0.6719467,-0.108834915,0.73255897,0
15646.722687,-0.6263384,-0.44489953,-0.6401287,0.3966602,-0.8887867,0.2296058,-0.6710893,-0.11010261,0.73315513,-0.7027726,-0.21505494,-0.67813134,0.23095241,-0.97055453,0.06844621,-0.6728831,-0.10851394,0.7317466,0
15646.732691,-0.6224139,-0.4512963,-0.6394784,0.40069368,-0.8855701,0.2349684,-0.6723433,-0.10998737,0.7320227,-0.6993299,-0.22441843,-0.67865604,0.23753421,-0.96844256,0.07547502,-0.67417735,-0.1084221,0.7305679,0
