Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,Imid
4750.811737464,0.578891,0.81515664,0.020123914,-0.8147281,0.5792396,-0.02645153,-0.033218704,-0.0010829649,0.9994475,0.5781406,0.8156706,0.020852635,-0.81519896,0.5785157,-0.027751798,-0.034699906,-9.5460546E-4,0.9993973,-0.34475708,0.007171631,9.742004,0
4750.816162513,0.5788824,0.81516236,0.020140758,-0.814733,0.5792317,-0.026475804,-0.03324824,-0.0010829639,0.9994466,0.57817435,0.81564784,0.020805612,-0.81517816,0.5785478,-0.027695179,-0.03462656,-9.476359E-4,0.99939984,-0.39743042,-0.03111267,9.780304,0
4750.820557044,0.5788846,0.8151608,0.020136397,-0.81473255,0.57923365,-0.026442667,-0.033218704,-0.0010985248,0.9994475,0.5781967,0.81563246,0.020789482,-0.8151637,0.57856953,-0.02766676,-0.03459407,-9.500004E-4,0.999401,-0.23461914,-0.04069519,9.880859,0
4750.824982093,0.56844026,0.8224868,0.019775655,-0.8220542,0.5687831,-0.026693562,-0.033203162,-0.0010829655,0.999448,0.5782216,0.8156159,0.02074843,-0.81514794,0.578593,-0.027640615,-0.03454902,-9.3063916E-4,0.9994026,-0.296875,0.04069519,9.871292,0
4750.829407142,0.5684666,0.82246983,0.019724352,-0.82203794,0.5688077,-0.026672311,-0.033156537,-0.0010518476,0.9994497,0.5779911,0.81578106,0.020677075,-0.8153134,0.57836014,-0.027634285,-0.03450232,-8.859242E-4,0.9994042,-0.2106781,0.06942749,9.866501,0
4750.833801673,0.56848156,0.82246023,0.019695219,-0.82202876,0.56882167,-0.026656533,-0.033127006,-0.0010362887,0.9994506,0.5777657,0.81594104,0.020662349,-0.8154744,0.57813436,-0.027606605,-0.034470975,-8.9946593E-4,0.99940526,-0.26335144,0.02154541,9.770737,0
4750.838226722,0.5764716,0.81687397,0.019929785,-0.8164453,0.5768151,-0.026479831,-0.033126492,-0.0010067092,0.9994506,0.57759553,0.8160637,0.020576485,-0.815597,0.5779614,-0.027607923,-0.034422237,-8.3590567E-4,0.999407,-0.31602478,0.06942749,9.823395,0
4750.842621253,0.5764671,0.81687707,0.019938922,-0.816448,0.57681096,-0.026493043,-0.033142548,-0.0010067243,0.99945015,0.57755405,0.81609416,0.020535076,-0.8156296,0.5779184,-0.027545212,-0.034347083,-8.4016874E-4,0.9994096,-0.3591156,-0.002380371,9.943115,0
4750.847046302,0.57646304,0.81687963,0.019946868,-0.8164502,0.5768072,-0.026504561,-0.033156537,-0.001006724,0.9994497,0.57754856,0.81609994,0.020459274,-0.81563836,0.57791024,-0.0274568,-0.034231115,-8.29734E-4,0.9994136,-0.36869812,-0.04069519,9.871292,0
4750.851440833,0.5816947,0.8131582,0.020125734,-0.8127306,0.582042,-0.026388545,-0.033172082,-0.0010067234,0.9994492,0.5775234,0.81611794,0.020450847,-0.8156581,0.5778848,-0.027406305,-0.03418501,-8.531151E-4,0.99941516,-0.3878479,-0.002380371,9.885651,0
