Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,Imid
7006.998913679,0.6812231,0.7305833,0.04672431,-0.7291911,0.6828157,-0.04519952,-0.0649261,-0.003279992,0.99788463,0.6870839,0.7251241,0.045943238,-0.7237763,0.6886124,-0.044282507,-0.0637474,-0.0028268287,0.99796206,-1.5258789E-4,-0.037261963,0.05192566,0
7007.003338728,0.69172263,0.72060627,0.047395147,-0.7192361,0.6933367,-0.044538535,-0.06495555,-0.003279986,0.99788284,0.68703586,0.725169,0.045952518,-0.7238214,0.688565,-0.044279642,-0.06375152,-0.0028397164,0.99796176,-0.10041809,-0.027679443,0.06628418,0
7007.007763777,0.6916731,0.720649,0.04746812,-0.7192767,0.69329214,-0.044575356,-0.06503247,-0.0033111398,0.99787766,0.6871001,0.72510415,0.046015248,-0.723756,0.6886332,-0.044288933,-0.06380172,-0.002872878,0.9979585,-0.18106079,-0.060897827,-0.11073303,0
7007.012188826,0.69165903,0.72066116,0.047488816,-0.7192874,0.69327945,-0.04459853,-0.065063454,-0.003311133,0.9978756,0.6871863,0.72501916,0.04606688,-0.7236751,0.6887224,-0.044225827,-0.06379186,-0.002946066,0.99795884,-0.089782715,-0.013015747,0.14305115,0
7007.016613875,0.692179,0.72016174,0.04748825,-0.7187899,0.6937983,-0.044552762,-0.06503247,-0.0032955802,0.9978777,0.68728393,0.7249264,0.046071,-0.7235828,0.68882,-0.044214275,-0.06378672,-0.0029484257,0.9979592,-0.03262329,-0.084991455,0.16221619,0
7007.021038923,0.6921656,0.72017336,0.04750875,-0.71880287,0.6937862,-0.0445331,-0.06503247,-0.0033251436,0.99787766,0.68728393,0.7249264,0.046071,-0.7235828,0.68882,-0.044214275,-0.06378672,-0.0029484257,0.9979592,-0.03262329,-0.08470154,0.16221619,0
7007.025463972,0.6921517,0.7201853,0.047529906,-0.7188148,0.6937737,-0.044534307,-0.06504796,-0.0033407,0.9978765,0.68745726,0.72475654,0.046157617,-0.7234095,0.68899876,-0.044266373,-0.063884884,-0.0029596179,0.9979529,-0.018112183,-0.05102539,0.032928467,0
7007.029889021,0.72227156,0.6898457,0.04936054,-0.6885436,0.7239488,-0.04249276,-0.065047964,-0.0032955767,0.9978767,0.68757087,0.72464937,0.04614721,-0.7233002,0.68911153,-0.044295758,-0.063899465,-0.0029218092,0.99795204,-0.0037384033,0.116104126,0.042495728,0
7007.034283552,0.72225064,0.6898655,0.04939252,-0.68856287,0.72393,-0.04250426,-0.06507895,-0.0033111298,0.9978746,0.6882757,0.72397524,0.046220977,-0.72262305,0.68981993,-0.04432116,-0.06397157,-0.002895167,0.9979475,-0.10398865,-0.027374268,-0.0053863525,0
7007.038708601,0.7222503,0.6898658,0.04939301,-0.68856174,0.7239297,-0.04252621,-0.06509445,-0.003295567,0.99787366,0.68895066,0.7233263,0.046324957,-0.7219746,0.6905001,-0.044296976,-0.06402856,-0.0029270125,0.99794376,-0.04159546,0.034698486,0.07601929,0
7007.04313365,0.68823135,0.72394943,0.047272928,-0.72256243,0.6898453,-0.044910427,-0.0651239,-0.0032488818,0.99787194,0.6896062,0.7226995,0.04635417,-0.7213448,0.6911564,-0.044321947,-0.064069435,-0.002872652,0.9979413,-0.08439636,0.09170532,-0.029327393,0
7007.047558699,0.6882374,0.7239445,0.04726315,-0.72255677,0.6898508,-0.044919726,-0.0651239,-0.003234878,0.99787194,0.6895902,0.7227112,0.04640964,-0.7213559,0.69114405,-0.044334523,-0.064116806,-0.0029052137,0.99793816,0.006576538,0.053268433,-5.950928E-4,0
7007.051983748,0.6882244,0.72395533,0.047284342,-0.7225704,0.689839,-0.044878192,-0.065108396,-0.0032800043,0.9978728,0.689552,0.7227472,0.046415694,-0.7213898,0.69110644,-0.044370294,-0.06414669,-0.002888178,0.9979363,0.05430603,-0.1186676,-0.058059692,0
7007.056408796,0.6797647,0.7319397,0.046735793,-0.73053455,0.6813616,-0.04544694,-0.065108396,-0.0032488848,0.9978729,0.68952495,0.7227722,0.046429437,-0.72141284,0.69108033,-0.044402026,-0.06417902,-0.002878489,0.9979342,-0.02708435,0.06776428,0.12390137,0
7007.060833845,0.6797364,0.73196334,0.046778042,-0.7305583,0.68133616,-0.045450106,-0.06513938,-0.0032799975,0.9978708,0.68930167,0.72298664,0.046406645,-0.72162294,0.6908563,-0.044474732,-0.06421496,-0.002831593,0.9979321,-0.079452515,-0.051620483,0.12869263,0
7007.065258894,0.67973,0.7319685,0.04678743,-0.73056126,0.6813305,-0.045483727,-0.06517037,-0.0032644314,0.99786884,0.6891251,0.7231524,0.04644574,-0.7217886,0.69068253,-0.044484343,-0.06424823,-0.0028687252,0.9979298,-0.06478882,0.03918457,0.07601929,0
7007.069683943,0.6973027,0.7151773,0.047858413,-0.7138108,0.6989355,-0.044309907,-0.06513938,-0.003264438,0.99787086,0.68893176,0.72333735,0.046433598,-0.72197104,0.69048893,-0.04452853,-0.06427103,-0.0028465928,0.9979284,0.049835205,-0.027832031,0.10954285,0
7007.074108992,0.6973027,0.7151773,0.047858413,-0.7138108,0.6989355,-0.044309907,-0.06513938,-0.003264438,0.99787086,0.68909895,0.72317374,0.046500377,-0.7218078,0.6906601,-0.044521835,-0.06431298,-0.0028843828,0.9979256,0.0019378662,0.010467529,0.09037781,0
7007.078534041,0.6972808,0.71519655,0.04789023,-0.7138308,0.6989157,-0.044300612,-0.06515487,-0.0032955538,0.99786973,0.68927014,0.7230079,0.046543203,-0.72164243,0.6908337,-0.044508923,-0.06433391,-0.0029088815,0.99792415,-0.045791626,-0.061050415,0.18136597,0
7007.082959089,0.68186796,0.7299645,0.046986908,-0.72856486,0.6834768,-0.04530546,-0.06518585,-0.00334067,0.9978676,0.689437,0.7228432,0.046629637,-0.72147894,0.6910057,-0.044488933,-0.06437987,-0.0029699865,0.99792105,-0.08857727,-0.13243103,0.21966553,0
7007.087384138,0.68187433,0.72995937,0.046976678,-0.72856045,0.6834824,-0.045293793,-0.065170355,-0.003340673,0.99786854,0.6892778,0.72299445,0.046637636,-0.72163147,0.6908473,-0.044474225,-0.064374104,-0.0030000878,0.9979213,0.04055786,-0.02229309,-0.048477173,0
7007.091809187,0.6818488,0.72998047,0.047018044,-0.72858167,0.68345976,-0.04529552,-0.065199785,-0.0033717859,0.9978666,0.6891535,0.7231146,0.04661361,-0.721752,0.69072163,-0.04447242,-0.06435568,-0.002995139,0.99792254,-0.10279846,-0.060302734,0.09996033,0
7007.096234236,0.71111786,0.70137095,0.048889846,-0.70003724,0.7127884,-0.043364584,-0.06526277,-0.0033873841,0.99786234,0.6890164,0.7232468,0.046588473,-0.72188514,0.69058317,-0.04446019,-0.0643289,-0.0029977255,0.99792427,-0.15486145,-0.041000366,0.018707275,0
7007.100659285,0.7111049,0.7013826,0.04891026,-0.7000461,0.71277696,-0.043407977,-0.06530771,-0.0033718143,0.9978594,0.689479,0.72280425,0.046613406,-0.721444,0.69104636,-0.044423334,-0.0643214,-0.003000008,0.99792475,-0.111328125,0.030685425,-0.014801025,0
7007.105084334,0.7110983,0.70138854,0.04892078,-0.7000528,0.71277106,-0.043397315,-0.0653077,-0.0033873739,0.99785936,0.6899015,0.7223979,0.04666042,-0.7210409,0.6914709,-0.04436229,-0.06431155,-0.0030384604,0.9979253,-0.025131226,-0.026626587,0.037857056,0
7007.109509382,0.67157525,0.73947746,0.046473853,-0.7380512,0.67317283,-0.046030153,-0.06532319,-0.0033873704,0.99785835,0.69032896,0.72198766,0.046687167,-0.720631,0.6918993,-0.044343557,-0.064318314,-0.0030325768,0.9979248,-0.044143677,-0.012268066,-0.024383545,0
7007.113903914,0.67156243,0.739488,0.04649189,-0.7380589,0.6731613,-0.046074577,-0.06536813,-0.003371801,0.9978555,0.68996924,0.72233254,0.046669334,-0.720974,0.6915392,-0.044383783,-0.06433352,-0.0030239327,0.99792385,-0.09637451,0.025894165,0.066589355,0
7007.118328962,0.6715553,0.7394938,0.04650191,-0.738064,0.67315495,-0.046086434,-0.06538362,-0.0033717975,0.9978545,0.6895909,0.72269213,0.046696614,-0.7213307,0.6911635,-0.044442825,-0.06439347,-0.003036335,0.99792,-0.033966064,0.001953125,0.057022095,0
7007.122754011,0.6909835,0.7212919,0.04774622,-0.71990454,0.6926228,-0.04484242,-0.0654146,-0.0033873501,0.9978524,0.6892403,0.72302544,0.04671373,-0.72166175,0.69081473,-0.04448992,-0.06443787,-0.0030472665,0.99791706,-0.09591675,-0.041000366,0.009140015,0
7007.12717906,0.69095635,0.7213155,0.047785886,-0.71992683,0.69259846,-0.044866797,-0.065459535,-0.003401344,0.99784946,0.6892825,0.72298515,0.046712916,-0.7216215,0.6908569,-0.044487283,-0.06443559,-0.0030447398,0.9979172,-0.11462402,-0.026489258,-0.100997925,0
7007.131604109,0.6909483,0.7213223,0.04779748,-0.7199315,0.6925913,-0.04489993,-0.06549144,-0.0033873809,0.99784744,0.6893198,0.7229482,0.046734754,-0.7215853,0.6908954,-0.044476375,-0.06444294,-0.00306467,0.99791664,-0.09994507,0.054763794,-0.0050964355,0
7007.136029158,0.6726064,0.7385294,0.046637442,-0.73709416,0.6742131,-0.04614213,-0.06552089,-0.0033406955,0.99784565,0.68936324,0.722906,0.046745438,-0.7215423,0.69093955,-0.044488154,-0.064459026,-0.003060311,0.9979156,-0.07571411,0.08781433,0.009277344,0
7007.140454207,0.67258555,0.73854643,0.046667594,-0.737109,0.67419434,-0.04617764,-0.06556736,-0.003340685,0.99784255,0.6890036,0.72324944,0.046737727,-0.7218848,0.69058007,-0.044514712,-0.06447138,-0.0030684576,0.99791485,-0.09919739,0.02079773,0.033218384,0
7007.144879255,0.6725564,0.7385704,0.04670975,-0.7371344,0.67416793,-0.046158217,-0.0655813,-0.0033873608,0.9978415,0.6886769,0.72356105,0.046728414,-0.7221914,0.69025373,-0.044603277,-0.06452765,-0.0030296124,0.99791133,-0.05596924,-0.117614746,-0.057769775,0
7007.149304304,0.6753569,0.7359965,0.046926994,-0.73456514,0.6769768,-0.04600468,-0.06562777,-0.003401354,0.9978384,0.6883551,0.72387004,0.046684552,-0.72249734,0.6899299,-0.044657882,-0.064535566,-0.0029889825,0.9979109,-0.112976074,-0.036071777,0.047576904,0
7007.153729353,0.67535067,0.73600173,0.046937127,-0.73456967,0.67697126,-0.046016455,-0.065643266,-0.0034013507,0.9978374,0.6880703,0.7241452,0.04661601,-0.72276974,0.68964136,-0.044707254,-0.06452287,-0.0029309066,0.99791193,-0.036209106,-0.021697998,0.17686462,0
7007.158154402,0.67533726,0.73601246,0.046958294,-0.73458046,0.6769593,-0.046018098,-0.065658756,-0.0034169066,0.99783635,0.6878278,0.724375,0.04662301,-0.7229993,0.68939984,-0.044720836,-0.06453655,-0.0029481656,0.997911,-0.045639038,-0.011978149,0.052368164,0
7007.162579451,0.67263645,0.738493,0.04677858,-0.7370557,0.6742524,-0.04617875,-0.06564326,-0.0034169098,0.99783725,0.68759316,0.7245965,0.046643373,-0.72321826,0.6891671,-0.044767756,-0.06458363,-0.002951336,0.99790794,0.045196533,-0.011978149,0.009277344,0
7007.1670045,0.6726441,0.7384868,0.046767544,-0.73704886,0.6742594,-0.04618879,-0.065643266,-0.0034013507,0.9978374,0.68732077,0.7248527,0.046676982,-0.72347254,0.6888975,-0.04480884,-0.06463546,-0.0029714638,0.99790454,-0.0026855469,0.045318604,-0.062561035,0
7007.171429548,0.67262405,0.7385032,0.0467967,-0.73706305,0.6742414,-0.04622312,-0.06568819,-0.0034013402,0.9978344,0.6870321,0.7251262,0.04667832,-0.72374284,0.68860966,-0.044867136,-0.06467748,-0.002957934,0.99790186,-0.1267395,-0.0025482178,-3.0517578E-4,0
7007.175854597,0.6791141,0.7325119,0.047225434,-0.73108464,0.68074566,-0.045830898,-0.0657202,-0.0034013863,0.9978323,0.6867423,0.7254021,0.04665538,-0.7240147,0.68831915,-0.044938657,-0.06471239,-0.0029179037,0.9978997,-0.102493286,-0.0073394775,0.09082031,0
7007.180279646,0.6791215,0.73250586,0.04721458,-0.7310794,0.68075234,-0.045818415,-0.06570369,-0.003401337,0.99783343,0.68657917,0.7255559,0.046665337,-0.72416407,0.6881572,-0.04501201,-0.064771816,-0.002889054,0.9978959,0.031417847,-0.016921997,0.033218384,0
7007.184704695,0.6791208,0.73250633,0.047215577,-0.7310784,0.6807517,-0.04584002,-0.0657202,-0.0033873823,0.9978323,0.686468,0.7256596,0.04668898,-0.7242639,0.68804795,-0.045077015,-0.064834826,-0.0028712149,0.9978919,-0.016311646,0.040390015,-0.009735107,0
